altnickol|Johann Christoph Altnickol|Altnickol, Johann Christoph|Altnickol, Johann Christoph (1720-1759)|Composer|Classical
alunhoddinott|Alun Hoddinott|Hoddinott, Alun|Hoddinott, Alun (1929-2008)|Composer|20th Century
alvinjoiner|Alvin Joiner|Joiner, Alvin|Joiner, Alvin|Composer|
alyabyev|Alexander Alyabyev|Alyabyev, Alexander|Alyabyev, Alexander (1787-1851)|Composer|Romantic
amaliacatharina countessoferbach|Amalia Catharina, Countess of Erbach|Erbach, Amalia Catharina, Countess of|Erbach, Amalia Catharina, Countess of (1640-1697)|Composer|Baroque
amalieprincessofsaxony|Amalie, Princess of Saxony|Saxony, Amalie, Princess of|Saxony, Amalie, Princess of (1794-1870)|Composer|Romantic
amandasomerville|Amanda Somerville|Somerville, Amanda|Somerville, Amanda|Composer|
amberiandawn|Amberian Dawn|Dawn, Amberian|Dawn, Amberian|Composer|
ambroisethomas|Ambroise Thomas|Thomas, Ambroise|Thomas, Ambroise (1811-1896)|Composer|Romantic
ambrosiocotes|Ambrosio Cotes|Cotes, Ambrosio|Cotes, Ambrosio (1550-1603)|Composer|Baroque
amedeemereaux|Amédée Méreaux|Méreaux, Amédée|Méreaux, Amédée (1802-1874)|Composer|Romantic
ameliejuliecandeille|Amélie-Julie Candeille|Candeille, Amélie-Julie|Candeille, Amélie-Julie (1767-1834)|Composer|Classical
amilcareponchielli|Amilcare Ponchielli|Ponchielli, Amilcare|Ponchielli, Amilcare (1834-1886)|Composer|Romantic
amner|John Amner|Amner, John|Amner, John (1579-1641)|Composer|Baroque
amodei|Cataldo Amodei|Amodei, Cataldo|Amodei, Cataldo (c1650-c1695)|Composer|Baroque
amon|Johann Andreas Amon|Amon, Johann Andreas|Amon, Johann Andreas (1763-1825)|Composer|Classical
amsterdambachsoloists|Amsterdam Bach Soloists|Amsterdam Bach Soloists||Orchestra|
amybeach|Amy Beach|Beach, Amy|Beach, Amy (1867-1944)|Composer|Romantic
amygrant|Amy Grant|Grant, Amy|Grant, Amy|Composer|
amylee|Amy Lee|Lee, Amy|Lee, Amy|Composer|
ananos|Sebastián Ramón de Albero y Añaños|Añaños , Sebastián Ramón de Albero y|Añaños , Sebastián Ramón de Albero y (1722-1756)|Composer|Classical
anastasiaschmidt|Anastasia Schmidt|Schmidt, Anastasia|Schmidt, Anastasia|Composer|
anatolylyadov|Anatoly Lyadov|Lyadov, Anatoly|Lyadov, Anatoly (1855-1914)|Composer|Romantic
anatolynikolayevichalexandrov|Anatoly Nikolayevich Alexandrov|Alexandrov, Anatoly Nikolayevich|Alexandrov, Anatoly Nikolayevich|Composer|
